dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49
-0.005279541,-0.0023956299,-0.00076675415,-0.0016555786,-0.0025634766,-0.00061798096,0.0014419556,0.00491333,-0.004211426,-0.0016784668,-0.0004234314,0.0024871826,0.0056152344,0.0010757446,-0.0014953613,-0.0015106201,-0.0035247803,0.002090454,-0.0005645752,0.00045394897,-0.0034637451,0.0043945312,-0.00016880035,0.0033721924,0.0018463135,0.0014572144,-0.001411438,0.001701355,0.002090454,0.0012969971,-0.0031738281,0.00046920776,0.0026855469,-0.0043029785,-0.0017776489,-0.0015106201,-0.0023498535,-0.002746582,0.00010442734,-0.0015411377,-0.00092697144,0.0028381348,-0.0025024414,-0.0010147095,0.0027008057,-0.004333496,0.002029419,-0.011108398,-0.00063323975,-0.0014266968
-0.001625061,-0.0040893555,0.0019683838,0.0018005371,-0.0046691895,0.0044555664,-0.0016021729,0.0010528564,0.0034484863,-0.0010910034,0.0023040771,0.0043029785,0.004852295,0.00018405914,0.00390625,0.002670288,0.0008544922,0.001449585,0.0042419434,0.0008735657,-0.0029907227,0.007598877,0.0015335083,0.0058288574,0.0012969971,0.0014419556,0.0041503906,-0.00091552734,0.0008277893,0.0027923584,-0.0035095215,0.0004196167,-0.0027923584,-0.00021362305,-0.0004386902,0.000118255615,-0.004425049,-0.0015563965,0.00064849854,-0.0022735596,0.0030975342,0.0006599426,-0.0011444092,-0.0015106201,0.0048217773,-0.012878418,0.0008087158,-0.0095825195,-0.006866455,-0.0032806396
0.00031661987,-0.0010375977,-0.0009651184,-0.00061035156,-0.007446289,0.0016098022,-0.0032348633,0.006439209,-0.0031280518,0.002105713,-0.0027923584,0.0050354004,0.007873535,-0.0021972656,-0.0056762695,0.0010604858,-0.0028381348,0.0024108887,0.0005645752,0.0011062622,-0.0038604736,0.008422852,-0.00062561035,-0.0007019043,0.0014343262,-0.0023498535,0.0029296875,0.0018920898,0.005432129,0.0074157715,-0.0063476562,-0.00077056885,0.0029144287,-0.0031280518,0.001045227,-0.00022220612,-0.0042419434,-0.0034179688,-0.0026245117,-0.002456665,0.007873535,-0.0040283203,4.005432e-05,0.0019378662,0.003189087,-0.003967285,-0.008911133,-0.014221191,-0.0037994385,0.001449585
-0.001625061,-0.0040893555,0.0019683838,0.0018005371,-0.0046691895,0.0044555664,-0.0016021729,0.0010528564,0.0034484863,-0.0010910034,0.0023040771,0.0043029785,0.004852295,0.00018405914,0.00390625,0.002670288,0.0008544922,0.001449585,0.0042419434,0.0008735657,-0.0029907227,0.007598877,0.0015335083,0.0058288574,0.0012969971,0.0014419556,0.0041503906,-0.00091552734,0.0008277893,0.0027923584,-0.0035095215,0.0004196167,-0.0027923584,-0.00021362305,-0.0004386902,0.000118255615,-0.004425049,-0.0015563965,0.00064849854,-0.0022735596,0.0030975342,0.0006599426,-0.0011444092,-0.0015106201,0.0048217773,-0.012878418,0.0008087158,-0.0095825195,-0.006866455,-0.0032806396
-0.008666992,-0.0015029907,0.0023040771,-0.0038146973,-0.009216309,-0.001663208,0.0015716553,0.0038604736,-0.0014038086,-0.004699707,-0.0010375977,0.0063476562,0.0037078857,-0.003036499,-0.0011291504,0.00021743774,-0.0013656616,0.00046157837,0.0022277832,-0.00089645386,4.3153763e-05,-0.0012207031,0.0028381348,-0.0008049011,0.007080078,-0.00592041,0.0063171387,0.0047302246,0.0030059814,-0.0013427734,-0.0056152344,-0.009338379,0.0006942749,0.0015945435,0.0030059814,0.00075531006,-0.0013275146,0.0033874512,0.0031433105,-0.0024414062,0.0033874512,-0.0050354004,0.001876831,-0.0032196045,0.0027313232,-0.0010681152,-0.0033874512,-0.014282227,-0.0072631836,0.00022602081
-0.00044250488,0.0019073486,0.004272461,0.005004883,-0.012390137,0.001045227,0.00051116943,0.006713867,-0.006500244,0.0017547607,0.00018501282,0.0050964355,0.004058838,0.0032806396,-0.0046691895,-0.001449585,-0.0010223389,0.0017700195,0.002105713,0.0010986328,0.0013580322,0.008605957,-0.00089263916,-0.0010528564,0.0034484863,-0.00064849854,-0.00014686584,0.0010528564,0.0037994385,0.003829956,-0.0025939941,-0.0028839111,-0.0020446777,-9.775162e-05,0.0022277832,0.0017166138,0.00032424927,-0.0017089844,-0.003768921,-0.0012664795,-0.003326416,-0.0027923584,-0.0008506775,0.00022411346,-0.0037231445,-0.0009498596,0.0030670166,-0.012023926,-0.0006866455,0.00046730042
-0.0007171631,-0.0002670288,0.0008468628,0.0014572144,-0.006591797,0.00023174286,-0.005340576,0.0049743652,5.1498413e-05,-0.0005607605,-8.9645386e-05,-0.0008010864,0.0076904297,0.0033416748,-0.006378174,0.0033721924,-0.00015163422,-0.0010070801,-0.0026550293,-0.0021820068,-0.002090454,0.0064086914,-0.0014343262,0.0007133484,0.0005645752,-0.0006637573,0.00090789795,0.0023498535,0.0012817383,0.0016403198,-0.007751465,0.0039978027,-0.0024719238,-0.0005187988,0.00088500977,-0.0023040771,-0.0029907227,-0.002822876,-0.0038452148,-0.0013275146,0.0058288574,0.0008049011,-0.002243042,-0.003189087,0.0003604889,-0.0016403198,0.0014648438,0.0049438477,-0.0019683838,-0.0022583008
-0.004272461,-0.0027160645,0.00340271,0.00038146973,-0.004425049,0.0019302368,-0.004425049,0.0051574707,0.0033721924,0.0015640259,0.0014190674,-0.002670288,0.007659912,-0.00035476685,0.0010910034,-0.0045166016,-0.0030059814,0.0017547607,0.0004825592,0.0038909912,-0.0027923584,0.0019836426,0.0016937256,0.0021209717,0.0011749268,-0.004272461,0.0061950684,0.00045013428,0.0054626465,2.348423e-05,-0.013671875,-0.0008354187,-0.0011672974,-0.0049743652,0.0019454956,0.0034942627,-0.0021820068,-0.0051879883,-0.002609253,-0.003540039,0.0065307617,2.7298927e-05,0.0013885498,0.0043029785,0.0058898926,-0.008178711,0.00018787384,-0.018920898,-0.0050964355,-0.00015544891
-0.004058838,-0.0020446777,0.0023651123,-0.0010070801,-0.0031738281,-0.0019989014,0.0022888184,0.0056152344,-0.0012741089,-0.001373291,0.00592041,0.006164551,0.005340576,-0.0024414062,-0.0027923584,0.006164551,0.0027923584,-0.0010528564,0.0011978149,0.0069885254,-0.0002822876,-0.0015335083,0.0021972656,-0.0003414154,0.0025939941,-0.0010528564,-0.0013275146,0.00592041,0.0030517578,-0.002609253,-0.009216309,-0.0016479492,0.00013065338,-0.00028038025,-0.0015792847,0.00063705444,-0.0009651184,-0.0016021729,-0.0024108887,-0.0035247803,0.0042419434,0.00048446655,-0.00037002563,-0.0043029785,0.0021514893,-0.0021820068,-0.0016708374,-0.015075684,-0.0060424805,-0.0025787354
-0.001953125,-0.007019043,-0.00050735474,0.0021362305,-0.006866455,-0.00012302399,0.002243042,0.0057373047,-0.004699707,-0.003112793,-0.00075149536,0.002746582,0.005584717,0.006011963,-0.00018978119,0.0026245117,0.0011749268,-0.00017929077,0.0056762695,-0.00031280518,-0.000289917,0.00340271,0.00079345703,0.0024719238,0.0001411438,-0.0011291504,-0.00024414062,0.002243042,0.0033569336,-0.0013504028,-0.005065918,-0.0038909912,-0.0026245117,-0.0012359619,0.0019302368,0.00022411346,-0.0030822754,-0.0054626465,0.002456665,-0.00340271,0.0065612793,-0.0005683899,-0.00088882446,0.0011520386,0.0019683838,-6.771088e-05,-0.0037384033,-0.0078125,-0.0010223389,-0.0068969727
-0.0049743652,-0.0040283203,0.0009994507,0.0002412796,-0.0056152344,-4.1246414e-05,-0.0006637573,0.007537842,-0.0003414154,-0.0005836487,0.00023937225,0.0043640137,0.004760742,0.0060424805,-0.0014343262,0.0017318726,0.0017776489,-0.0025177002,0.0041503906,0.0033874512,0.0012435913,0.0043029785,-0.0025634766,-0.00037956238,-0.0006790161,-0.0024261475,0.003112793,0.004180908,0.0027923584,0.00048446655,-0.0030212402,-0.005279541,-0.0023040771,-0.0005722046,0.0041503906,0.0034942627,-0.002960205,-0.00037765503,0.00077819824,-0.004760742,0.012329102,-0.00015926361,-0.0005226135,-0.0005569458,0.0044555664,-0.0060424805,-0.00061416626,-0.019042969,-0.004699707,-0.0017471313
-0.004272461,-0.0027160645,0.00340271,0.00038146973,-0.004425049,0.0019302368,-0.004425049,0.0051574707,0.0033721924,0.0015640259,0.0014190674,-0.002670288,0.007659912,-0.00035476685,0.0010910034,-0.0045166016,-0.0030059814,0.0017547607,0.0004825592,0.0038909912,-0.0027923584,0.0019836426,0.0016937256,0.0021209717,0.0011749268,-0.004272461,0.0061950684,0.00045013428,0.0054626465,2.348423e-05,-0.013671875,-0.0008354187,-0.0011672974,-0.0049743652,0.0019454956,0.0034942627,-0.0021820068,-0.0051879883,-0.002609253,-0.003540039,0.0065307617,2.7298927e-05,0.0013885498,0.0043029785,0.0058898926,-0.008178711,0.00018787384,-0.018920898,-0.0050964355,-0.00015544891
-0.00680542,-0.0021514893,0.00022315979,-0.0006599426,-0.006378174,-0.0032196045,0.00051116943,0.0037231445,-0.004211426,-0.00063323975,0.0033569336,0.0020599365,0.0034637451,-0.004699707,-0.0016555786,-0.0005302429,0.0020751953,-0.0046691895,0.00062179565,0.0027313232,0.00092315674,0.0032348633,0.00048446655,0.0015487671,-0.0010681152,-0.00088500977,0.0028839111,0.0022125244,0.00028419495,-0.00039100647,-0.004699707,-0.0016555786,-0.000667572,-0.0010147095,0.0037384033,0.0036010742,0.0019683838,-0.004180908,-0.0008392334,-0.0045776367,0.005126953,-0.001663208,-0.0011138916,0.0029296875,0.0032653809,-0.0049438477,-0.0024261475,-0.0054626465,-0.0025482178,-0.0026245117
-0.0004863739,-0.004638672,0.001739502,-0.0033721924,-0.006866455,0.0035858154,-0.0011444092,0.0033416748,0.0004196167,-0.003036499,0.0005302429,0.0031738281,0.006652832,0.0032196045,-0.0005302429,0.0051879883,9.6321106e-05,-0.0054016113,-0.0017547607,-0.00027275085,-0.0037078857,0.005584717,0.00075912476,0.0015869141,0.0042419434,0.0021209717,0.0032958984,0.00043296814,0.0012817383,-0.0012283325,-0.0024871826,-0.00340271,-0.0016937256,0.0017242432,0.0025787354,0.00021839142,-0.0024108887,0.0008010864,-0.0025177002,-0.0019989014,0.001411438,-0.0041503906,-0.0075683594,0.0025787354,0.0016098022,-0.004425049,-0.0015411377,-0.0018463135,-0.0018081665,-0.0011291504
-0.004058838,-0.0020446777,0.0023651123,-0.0010070801,-0.0031738281,-0.0019989014,0.0022888184,0.0056152344,-0.0012741089,-0.001373291,0.00592041,0.006164551,0.005340576,-0.0024414062,-0.0027923584,0.006164551,0.0027923584,-0.0010528564,0.0011978149,0.0069885254,-0.0002822876,-0.0015335083,0.0021972656,-0.0003414154,0.0025939941,-0.0010528564,-0.0013275146,0.00592041,0.0030517578,-0.002609253,-0.009216309,-0.0016479492,0.00013065338,-0.00028038025,-0.0015792847,0.00063705444,-0.0009651184,-0.0016021729,-0.0024108887,-0.0035247803,0.0042419434,0.00048446655,-0.00037002563,-0.0043029785,0.0021514893,-0.0021820068,-0.0016708374,-0.015075684,-0.0060424805,-0.0025787354
-0.004272461,-0.0027160645,0.00340271,0.00038146973,-0.004425049,0.0019302368,-0.004425049,0.0051574707,0.0033721924,0.0015640259,0.0014190674,-0.002670288,0.007659912,-0.00035476685,0.0010910034,-0.0045166016,-0.0030059814,0.0017547607,0.0004825592,0.0038909912,-0.0027923584,0.0019836426,0.0016937256,0.0021209717,0.0011749268,-0.004272461,0.0061950684,0.00045013428,0.0054626465,2.348423e-05,-0.013671875,-0.0008354187,-0.0011672974,-0.0049743652,0.0019454956,0.0034942627,-0.0021820068,-0.0051879883,-0.002609253,-0.003540039,0.0065307617,2.7298927e-05,0.0013885498,0.0043029785,0.0058898926,-0.008178711,0.00018787384,-0.018920898,-0.0050964355,-0.00015544891
-0.005279541,-0.0023956299,-0.00076675415,-0.0016555786,-0.0025634766,-0.00061798096,0.0014419556,0.00491333,-0.004211426,-0.0016784668,-0.0004234314,0.0024871826,0.0056152344,0.0010757446,-0.0014953613,-0.0015106201,-0.0035247803,0.002090454,-0.0005645752,0.00045394897,-0.0034637451,0.0043945312,-0.00016880035,0.0033721924,0.0018463135,0.0014572144,-0.001411438,0.001701355,0.002090454,0.0012969971,-0.0031738281,0.00046920776,0.0026855469,-0.0043029785,-0.0017776489,-0.0015106201,-0.0023498535,-0.002746582,0.00010442734,-0.0015411377,-0.00092697144,0.0028381348,-0.0025024414,-0.0010147095,0.0027008057,-0.004333496,0.002029419,-0.011108398,-0.00063323975,-0.0014266968
-0.0004863739,-0.004638672,0.001739502,-0.0033721924,-0.006866455,0.0035858154,-0.0011444092,0.0033416748,0.0004196167,-0.003036499,0.0005302429,0.0031738281,0.006652832,0.0032196045,-0.0005302429,0.0051879883,9.6321106e-05,-0.0054016113,-0.0017547607,-0.00027275085,-0.0037078857,0.005584717,0.00075912476,0.0015869141,0.0042419434,0.0021209717,0.0032958984,0.00043296814,0.0012817383,-0.0012283325,-0.0024871826,-0.00340271,-0.0016937256,0.0017242432,0.0025787354,0.00021839142,-0.0024108887,0.0008010864,-0.0025177002,-0.0019989014,0.001411438,-0.0041503906,-0.0075683594,0.0025787354,0.0016098022,-0.004425049,-0.0015411377,-0.0018463135,-0.0018081665,-0.0011291504
-0.004272461,-0.0027160645,0.00340271,0.00038146973,-0.004425049,0.0019302368,-0.004425049,0.0051574707,0.0033721924,0.0015640259,0.0014190674,-0.002670288,0.007659912,-0.00035476685,0.0010910034,-0.0045166016,-0.0030059814,0.0017547607,0.0004825592,0.0038909912,-0.0027923584,0.0019836426,0.0016937256,0.0021209717,0.0011749268,-0.004272461,0.0061950684,0.00045013428,0.0054626465,2.348423e-05,-0.013671875,-0.0008354187,-0.0011672974,-0.0049743652,0.0019454956,0.0034942627,-0.0021820068,-0.0051879883,-0.002609253,-0.003540039,0.0065307617,2.7298927e-05,0.0013885498,0.0043029785,0.0058898926,-0.008178711,0.00018787384,-0.018920898,-0.0050964355,-0.00015544891
-0.0020599365,0.0016860962,0.0008544922,0.0015716553,-0.005279541,0.00045013428,-0.0044555664,0.0049743652,-0.005004883,-0.0002670288,-0.003753662,-0.00050735474,0.010559082,0.00078582764,-0.00340271,-0.0016937256,0.0028839111,-0.001335144,-0.004760742,0.0030517578,-0.004180908,0.0068359375,0.0010147095,0.0023651123,0.004272461,0.002166748,-0.0013580322,0.004486084,0.004211426,0.0028839111,-0.00592041,0.0012512207,0.00063705444,-0.0052490234,0.003250122,0.0021820068,0.00088500977,-0.00089645386,0.0017547607,-0.0010757446,0.0065307617,-0.0022583008,-0.0015106201,0.0016021729,0.00029182434,-0.0046081543,-0.00390625,-0.003479004,-0.0051879883,-0.0010681152
0.00031661987,-0.0010375977,-0.0009651184,-0.00061035156,-0.007446289,0.0016098022,-0.0032348633,0.006439209,-0.0031280518,0.002105713,-0.0027923584,0.0050354004,0.007873535,-0.0021972656,-0.0056762695,0.0010604858,-0.0028381348,0.0024108887,0.0005645752,0.0011062622,-0.0038604736,0.008422852,-0.00062561035,-0.0007019043,0.0014343262,-0.0023498535,0.0029296875,0.0018920898,0.005432129,0.0074157715,-0.0063476562,-0.00077056885,0.0029144287,-0.0031280518,0.001045227,-0.00022220612,-0.0042419434,-0.0034179688,-0.0026245117,-0.002456665,0.007873535,-0.0040283203,4.005432e-05,0.0019378662,0.003189087,-0.003967285,-0.008911133,-0.014221191,-0.0037994385,0.001449585
-0.008666992,-0.0015029907,0.0023040771,-0.0038146973,-0.009216309,-0.001663208,0.0015716553,0.0038604736,-0.0014038086,-0.004699707,-0.0010375977,0.0063476562,0.0037078857,-0.003036499,-0.0011291504,0.00021743774,-0.0013656616,0.00046157837,0.0022277832,-0.00089645386,4.3153763e-05,-0.0012207031,0.0028381348,-0.0008049011,0.007080078,-0.00592041,0.0063171387,0.0047302246,0.0030059814,-0.0013427734,-0.0056152344,-0.009338379,0.0006942749,0.0015945435,0.0030059814,0.00075531006,-0.0013275146,0.0033874512,0.0031433105,-0.0024414062,0.0033874512,-0.0050354004,0.001876831,-0.0032196045,0.0027313232,-0.0010681152,-0.0033874512,-0.014282227,-0.0072631836,0.00022602081
-0.0021820068,0.001953125,-0.0028533936,-0.0004787445,-0.010253906,-0.0028533936,-0.0057373047,0.0054626465,-0.0073547363,-0.004760742,0.0014724731,0.003479004,0.0074157715,-0.002319336,-0.002380371,0.0008735657,0.0054626465,0.0037231445,-0.00092315674,0.0028686523,0.0027313232,0.0040283203,0.0015182495,-0.0022583008,0.006713867,-0.0013580322,0.0054626465,-0.0015716553,0.00043678284,0.003967285,-0.004486084,-0.0043945312,-0.0031433105,0.0002593994,0.0028381348,0.0015945435,-0.00065231323,0.0013961792,0.0023956299,-0.007080078,0.005554199,0.0005912781,0.0009498596,-0.0005569458,0.0011367798,-0.0018692017,0.0015106201,-0.008911133,-0.00018119812,-0.006500244
0.00031661987,-0.0010375977,-0.0009651184,-0.00061035156,-0.007446289,0.0016098022,-0.0032348633,0.006439209,-0.0031280518,0.002105713,-0.0027923584,0.0050354004,0.007873535,-0.0021972656,-0.0056762695,0.0010604858,-0.0028381348,0.0024108887,0.0005645752,0.0011062622,-0.0038604736,0.008422852,-0.00062561035,-0.0007019043,0.0014343262,-0.0023498535,0.0029296875,0.0018920898,0.005432129,0.0074157715,-0.0063476562,-0.00077056885,0.0029144287,-0.0031280518,0.001045227,-0.00022220612,-0.0042419434,-0.0034179688,-0.0026245117,-0.002456665,0.007873535,-0.0040283203,4.005432e-05,0.0019378662,0.003189087,-0.003967285,-0.008911133,-0.014221191,-0.0037994385,0.001449585
-0.005279541,-0.0023956299,-0.00076675415,-0.0016555786,-0.0025634766,-0.00061798096,0.0014419556,0.00491333,-0.004211426,-0.0016784668,-0.0004234314,0.0024871826,0.0056152344,0.0010757446,-0.0014953613,-0.0015106201,-0.0035247803,0.002090454,-0.0005645752,0.00045394897,-0.0034637451,0.0043945312,-0.00016880035,0.0033721924,0.0018463135,0.0014572144,-0.001411438,0.001701355,0.002090454,0.0012969971,-0.0031738281,0.00046920776,0.0026855469,-0.0043029785,-0.0017776489,-0.0015106201,-0.0023498535,-0.002746582,0.00010442734,-0.0015411377,-0.00092697144,0.0028381348,-0.0025024414,-0.0010147095,0.0027008057,-0.004333496,0.002029419,-0.011108398,-0.00063323975,-0.0014266968
-0.0058288574,-0.0047912598,-0.0011825562,0.0007972717,-0.009277344,-0.0027770996,-0.0028533936,0.0019989014,0.00024318695,0.0038757324,0.0018234253,0.0057373047,0.0040893555,-0.0008354187,-4.36306e-05,0.0009994507,0.002960205,-0.0056152344,0.001663208,0.0028686523,-0.0042419434,0.0014190674,0.0018157959,0.0025024414,0.00078964233,1.5258789e-05,-0.0003643036,0.0023345947,0.0031585693,-0.0018463135,-0.005126953,-0.0008163452,-0.002166748,-0.0020141602,0.00050735474,0.0018844604,-0.0040893555,-0.0037078857,-0.0006637573,-0.0022888184,0.002456665,0.0022888184,1.0430813e-06,-0.00093078613,-0.00050735474,-0.0046691895,-0.0018539429,-0.016357422,-0.0017623901,-0.002029419
-0.001625061,-0.0040893555,0.0019683838,0.0018005371,-0.0046691895,0.0044555664,-0.0016021729,0.0010528564,0.0034484863,-0.0010910034,0.0023040771,0.0043029785,0.004852295,0.00018405914,0.00390625,0.002670288,0.0008544922,0.001449585,0.0042419434,0.0008735657,-0.0029907227,0.007598877,0.0015335083,0.0058288574,0.0012969971,0.0014419556,0.0041503906,-0.00091552734,0.0008277893,0.0027923584,-0.0035095215,0.0004196167,-0.0027923584,-0.00021362305,-0.0004386902,0.000118255615,-0.004425049,-0.0015563965,0.00064849854,-0.0022735596,0.0030975342,0.0006599426,-0.0011444092,-0.0015106201,0.0048217773,-0.012878418,0.0008087158,-0.0095825195,-0.006866455,-0.0032806396
-0.005279541,-0.0023956299,-0.00076675415,-0.0016555786,-0.0025634766,-0.00061798096,0.0014419556,0.00491333,-0.004211426,-0.0016784668,-0.0004234314,0.0024871826,0.0056152344,0.0010757446,-0.0014953613,-0.0015106201,-0.0035247803,0.002090454,-0.0005645752,0.00045394897,-0.0034637451,0.0043945312,-0.00016880035,0.0033721924,0.0018463135,0.0014572144,-0.001411438,0.001701355,0.002090454,0.0012969971,-0.0031738281,0.00046920776,0.0026855469,-0.0043029785,-0.0017776489,-0.0015106201,-0.0023498535,-0.002746582,0.00010442734,-0.0015411377,-0.00092697144,0.0028381348,-0.0025024414,-0.0010147095,0.0027008057,-0.004333496,0.002029419,-0.011108398,-0.00063323975,-0.0014266968
-0.0007171631,-0.0002670288,0.0008468628,0.0014572144,-0.006591797,0.00023174286,-0.005340576,0.0049743652,5.1498413e-05,-0.0005607605,-8.9645386e-05,-0.0008010864,0.0076904297,0.0033416748,-0.006378174,0.0033721924,-0.00015163422,-0.0010070801,-0.0026550293,-0.0021820068,-0.002090454,0.0064086914,-0.0014343262,0.0007133484,0.0005645752,-0.0006637573,0.00090789795,0.0023498535,0.0012817383,0.0016403198,-0.007751465,0.0039978027,-0.0024719238,-0.0005187988,0.00088500977,-0.0023040771,-0.0029907227,-0.002822876,-0.0038452148,-0.0013275146,0.0058288574,0.0008049011,-0.002243042,-0.003189087,0.0003604889,-0.0016403198,0.0014648438,0.0049438477,-0.0019683838,-0.0022583008
0.00031661987,-0.0010375977,-0.0009651184,-0.00061035156,-0.007446289,0.0016098022,-0.0032348633,0.006439209,-0.0031280518,0.002105713,-0.0027923584,0.0050354004,0.007873535,-0.0021972656,-0.0056762695,0.0010604858,-0.0028381348,0.0024108887,0.0005645752,0.0011062622,-0.0038604736,0.008422852,-0.00062561035,-0.0007019043,0.0014343262,-0.0023498535,0.0029296875,0.0018920898,0.005432129,0.0074157715,-0.0063476562,-0.00077056885,0.0029144287,-0.0031280518,0.001045227,-0.00022220612,-0.0042419434,-0.0034179688,-0.0026245117,-0.002456665,0.007873535,-0.0040283203,4.005432e-05,0.0019378662,0.003189087,-0.003967285,-0.008911133,-0.014221191,-0.0037994385,0.001449585
0.0013656616,-0.00045776367,0.00089263916,0.0016784668,-0.008544922,0.002456665,-0.002319336,8.2969666e-05,-0.0046081543,0.0032348633,0.00063323975,0.004760742,0.005706787,-2.3126602e-05,-0.002456665,0.0033874512,-0.0050354004,0.0022125244,-0.0019836426,-0.0005912781,0.000869751,0.0014801025,-0.0031280518,0.004333496,-0.0006790161,0.0005645752,0.0028533936,0.0015335083,-0.00013446808,0.0013656616,-0.008605957,0.0008163452,0.0042419434,-0.00579834,0.005645752,-0.0012969971,-0.0004863739,-0.0027008057,-0.0032043457,-0.0020141602,0.008300781,0.00064468384,-0.0005760193,0.0016098022,0.0030822754,-0.008361816,-0.0017089844,-0.0055236816,-0.0040283203,-0.0018005371
-0.004272461,-0.0027160645,0.00340271,0.00038146973,-0.004425049,0.0019302368,-0.004425049,0.0051574707,0.0033721924,0.0015640259,0.0014190674,-0.002670288,0.007659912,-0.00035476685,0.0010910034,-0.0045166016,-0.0030059814,0.0017547607,0.0004825592,0.0038909912,-0.0027923584,0.0019836426,0.0016937256,0.0021209717,0.0011749268,-0.004272461,0.0061950684,0.00045013428,0.0054626465,2.348423e-05,-0.013671875,-0.0008354187,-0.0011672974,-0.0049743652,0.0019454956,0.0034942627,-0.0021820068,-0.0051879883,-0.002609253,-0.003540039,0.0065307617,2.7298927e-05,0.0013885498,0.0043029785,0.0058898926,-0.008178711,0.00018787384,-0.018920898,-0.0050964355,-0.00015544891
-0.005279541,-0.0023956299,-0.00076675415,-0.0016555786,-0.0025634766,-0.00061798096,0.0014419556,0.00491333,-0.004211426,-0.0016784668,-0.0004234314,0.0024871826,0.0056152344,0.0010757446,-0.0014953613,-0.0015106201,-0.0035247803,0.002090454,-0.0005645752,0.00045394897,-0.0034637451,0.0043945312,-0.00016880035,0.0033721924,0.0018463135,0.0014572144,-0.001411438,0.001701355,0.002090454,0.0012969971,-0.0031738281,0.00046920776,0.0026855469,-0.0043029785,-0.0017776489,-0.0015106201,-0.0023498535,-0.002746582,0.00010442734,-0.0015411377,-0.00092697144,0.0028381348,-0.0025024414,-0.0010147095,0.0027008057,-0.004333496,0.002029419,-0.011108398,-0.00063323975,-0.0014266968
-0.004272461,-0.0027160645,0.00340271,0.00038146973,-0.004425049,0.0019302368,-0.004425049,0.0051574707,0.0033721924,0.0015640259,0.0014190674,-0.002670288,0.007659912,-0.00035476685,0.0010910034,-0.0045166016,-0.0030059814,0.0017547607,0.0004825592,0.0038909912,-0.0027923584,0.0019836426,0.0016937256,0.0021209717,0.0011749268,-0.004272461,0.0061950684,0.00045013428,0.0054626465,2.348423e-05,-0.013671875,-0.0008354187,-0.0011672974,-0.0049743652,0.0019454956,0.0034942627,-0.0021820068,-0.0051879883,-0.002609253,-0.003540039,0.0065307617,2.7298927e-05,0.0013885498,0.0043029785,0.0058898926,-0.008178711,0.00018787384,-0.018920898,-0.0050964355,-0.00015544891
-0.005279541,-0.0023956299,-0.00076675415,-0.0016555786,-0.0025634766,-0.00061798096,0.0014419556,0.00491333,-0.004211426,-0.0016784668,-0.0004234314,0.0024871826,0.0056152344,0.0010757446,-0.0014953613,-0.0015106201,-0.0035247803,0.002090454,-0.0005645752,0.00045394897,-0.0034637451,0.0043945312,-0.00016880035,0.0033721924,0.0018463135,0.0014572144,-0.001411438,0.001701355,0.002090454,0.0012969971,-0.0031738281,0.00046920776,0.0026855469,-0.0043029785,-0.0017776489,-0.0015106201,-0.0023498535,-0.002746582,0.00010442734,-0.0015411377,-0.00092697144,0.0028381348,-0.0025024414,-0.0010147095,0.0027008057,-0.004333496,0.002029419,-0.011108398,-0.00063323975,-0.0014266968
-0.0004863739,-0.004638672,0.001739502,-0.0033721924,-0.006866455,0.0035858154,-0.0011444092,0.0033416748,0.0004196167,-0.003036499,0.0005302429,0.0031738281,0.006652832,0.0032196045,-0.0005302429,0.0051879883,9.6321106e-05,-0.0054016113,-0.0017547607,-0.00027275085,-0.0037078857,0.005584717,0.00075912476,0.0015869141,0.0042419434,0.0021209717,0.0032958984,0.00043296814,0.0012817383,-0.0012283325,-0.0024871826,-0.00340271,-0.0016937256,0.0017242432,0.0025787354,0.00021839142,-0.0024108887,0.0008010864,-0.0025177002,-0.0019989014,0.001411438,-0.0041503906,-0.0075683594,0.0025787354,0.0016098022,-0.004425049,-0.0015411377,-0.0018463135,-0.0018081665,-0.0011291504
0.00031661987,-0.0010375977,-0.0009651184,-0.00061035156,-0.007446289,0.0016098022,-0.0032348633,0.006439209,-0.0031280518,0.002105713,-0.0027923584,0.0050354004,0.007873535,-0.0021972656,-0.0056762695,0.0010604858,-0.0028381348,0.0024108887,0.0005645752,0.0011062622,-0.0038604736,0.008422852,-0.00062561035,-0.0007019043,0.0014343262,-0.0023498535,0.0029296875,0.0018920898,0.005432129,0.0074157715,-0.0063476562,-0.00077056885,0.0029144287,-0.0031280518,0.001045227,-0.00022220612,-0.0042419434,-0.0034179688,-0.0026245117,-0.002456665,0.007873535,-0.0040283203,4.005432e-05,0.0019378662,0.003189087,-0.003967285,-0.008911133,-0.014221191,-0.0037994385,0.001449585
